,index,site_id,building_id,primary_use,sub_primary_use,square_feet,lat,lng,year_built
1,1300,0,56,Lodging/residential,Residence Hall	,60088.0,28.52,-81.4,2013.0
2,2645,0,38,Office,Office,12769.0,28.52,-81.4,2013.0
3,3939,0,71,Parking,Parking Garage,387638.0,28.52,-81.4,1998.0
4,5294,0,46,Retail,Retail,9045.0,28.52,-81.4,2016.0
5,6596,0,64,Lodging/residential,Residence Hall,53130.0,28.52,-81.4,2001.0
6,7938,0,7,Education,Classroom,121074.0,28.52,-81.4,1989.0
7,10419,0,16,Education,Classroom,54644.0,28.52,-81.4,1996.0
8,11761,0,63,Lodging/residential,Residence Hall,41617.0,28.52,-81.4,2001.0
9,13086,0,61,Lodging/residential,Residence Hall,38686.0,28.52,-81.4,2001.0
10,14431,0,34,Lodging/residential,Residence Hall,42731.0,28.52,-81.4,2002.0
11,15715,0,68,Parking,Parking Garage,487433.0,28.52,-81.4,2007.0
12,17070,0,54,Education,Research,7867.0,28.52,-81.4,2011.0
13,18347,0,49,Lodging/residential,Residence Hall,24456.0,28.52,-81.4,1968.0
14,19650,0,31,Education,Classroom,61904.0,28.52,-81.4,2001.0
15,22193,0,5,Education,Research,8000.0,28.52,-81.4,2000.0
16,23528,0,27,Lodging/residential,Residence Hall,59200.0,28.52,-81.4,1999.0
17,24907,0,39,Office,Office,64619.0,28.52,-81.4,1969.0
18,26218,0,93,Office,Office,33370.0,28.52,-81.4,1982.0
19,27575,0,1,Education,Research,2720.0,28.52,-81.4,2004.0
20,28953,0,55,Office,Office,16726.0,28.52,-81.4,2011.0
21,31415,0,14,Education,Classroom,86250.0,28.52,-81.4,2013.0
23,35029,0,51,Parking,Parking Garage,387638.0,28.52,-81.4,2014.0
24,36314,0,40,Entertainment/public assembly,Stadium,26944.0,28.52,-81.4,2001.0
25,37642,0,86,Education,Research,10932.0,28.52,-81.4,1986.0
26,38968,0,21,Office,Office,7043.0,28.52,-81.4,1990.0
27,40283,0,66,Lodging/residential,Residence Hall,37241.0,28.52,-81.4,1981.0
28,41579,0,90,Lodging/residential,Residence Hall,59200.0,28.52,-81.4,1999.0
29,42893,0,13,Education,Classroom,99380.0,28.52,-81.4,2000.0
30,45278,0,33,Lodging/residential,Residence Hall,38686.0,28.52,-81.4,2002.0
31,46568,0,28,Office,Office,52957.0,28.52,-81.4,2016.0
32,48888,0,17,Office,Office,15250.0,28.52,-81.4,1980.0
34,51473,1,153,Office,Office,16092.0,51.53,-0.1345,1965.0
35,52749,1,121,Education,College Laboratory,150318.0,51.53,-0.1345,1906.0
36,55411,1,143,Office,Office,40085.0,51.53,-0.1345,
37,56673,1,137,Entertainment/public assembly,Gymnasium,64024.0,51.53,-0.1345,1967.0
38,57977,1,149,Office,Office,81881.0,51.53,-0.1345,1960.0
39,59295,1,116,Education,College Laboratory,37265.0,51.53,-0.1345,
40,60672,1,107,Education,College Classroom,97532.0,51.53,-0.1345,2005.0
41,62050,1,118,Education,College Laboratory,138316.0,51.53,-0.1345,1960.0
42,63386,1,111,Education,College Laboratory,118338.0,51.53,-0.1345,1909.0
43,64700,1,142,Office,Office,45348.0,51.53,-0.1345,
44,65974,1,120,Education,College Laboratory,68211.0,51.53,-0.1345,1976.0
45,67285,1,128,Lodging/residential,Dormitory,102774.0,51.53,-0.1345,1956.0
46,68559,1,133,Lodging/residential,Dormitory,64723.0,51.53,-0.1345,1960.0
47,69841,1,136,Lodging/residential,Dormitory,56467.0,51.53,-0.1345,1960.0
48,71127,1,122,Education,College Laboratory,83043.0,51.53,-0.1345,1991.0
49,72483,1,117,Education,College Laboratory,15489.0,51.53,-0.1345,2004.0
50,75091,2,203,Lodging/residential,Dormitory,63348.0,33.44,-111.94,2007.0
51,79087,2,234,Education,College Classroom,179167.0,33.44,-111.94,1971.0
52,83006,2,246,Office,Office,202435.0,33.44,-111.94,1967.0
53,86953,2,226,Office,Office,74180.0,33.44,-111.94,1930.0
54,90907,2,172,Office,Office,121440.0,33.44,-111.94,1983.0
55,93547,2,249,Entertainment/public assembly,Planetarium,179449.0,33.44,-111.94,1976.0
56,97447,2,239,Lodging/residential,Dormitory,106440.0,33.44,-111.94,1963.0
57,101444,2,266,Education,Student Union,30543.0,33.44,-111.94,
58,102723,2,197,Public services,Library,102856.0,33.44,-111.94,
59,105430,2,160,Entertainment/public assembly,Museum,15786.0,33.44,-111.94,
60,106704,2,244,Education,College Classroom,95717.0,33.44,-111.94,
61,110584,2,178,Office,Office,23392.0,33.44,-111.94,
62,113224,2,208,Healthcare,Health Services,36904.0,33.44,-111.94,1934.0
63,115838,2,284,Entertainment/public assembly,Sports Stadium,230259.0,33.44,-111.94,1975.0
64,119677,2,163,Education,College Classroom,72102.0,33.44,-111.94,1970.0
65,123572,2,271,Education,College Laboratory,71421.0,33.44,-111.94,
66,126181,2,243,Parking,Parking Garage,557217.0,33.44,-111.94,2004.0
67,127485,2,198,Office,Office,163959.0,33.44,-111.94,2004.0
68,130166,2,278,Office,Office,148101.0,33.44,-111.94,
69,131433,2,191,Education,College Classroom,78268.0,33.44,-111.94,1964.0
70,135423,2,260,Education,College Classroom,126985.0,33.44,-111.94,1979.0
71,139352,2,162,Education,College Classroom,98829.0,33.44,-111.94,1968.0
72,141980,2,207,Public services,Library,99700.0,33.44,-111.94,
73,144618,2,186,Religious worship,Chapel,1629.0,33.44,-111.94,1948.0
74,145904,2,209,Education,College Laboratory,193294.0,33.44,-111.94,2006.0
75,149748,2,289,Entertainment/public assembly,Fitness Center,9666.0,33.44,-111.94,2005.0
76,151062,2,174,Education,College Classroom,90900.0,33.44,-111.94,
77,153687,2,173,Education,College Classroom,90903.0,33.44,-111.94,
78,156395,2,285,Utility,Central Plant,21958.0,33.44,-111.94,
79,159059,2,265,Office,Office,118966.0,33.44,-111.94,1988.0
80,161627,2,235,Education,College Classroom,9309.0,33.44,-111.94,1970.0
81,164220,2,288,Entertainment/public assembly,Fitness Center,10733.0,33.44,-111.94,2005.0
82,165529,2,164,Warehouse/storage,Warehouse,12908.0,33.44,-111.94,1979.0
83,166777,2,290,Office,Office,51732.0,33.44,-111.94,1966.0
84,169452,2,251,Education,College Classroom,12773.0,33.44,-111.94,
